lon,lat,NOM_COMP,TIPO_COMP,estado_dr,unidad,administrado,subsector,area_m2
-76.23212,-11.59579,Depósito de relave Chinchán,Depósito,Operación,Casapalca,EMPRESA MINERA LOS QUENUALES S.A.C.,Minería,409040.39200301
-75.67163,-12.0592,Depósito de relave nº 1 (PAM),Depósito,Pasivo Ambiental Minero,UEA Azulcocha,SIERRA POLI S.A.C.,Minería,248.62314313
-77.59136,-7.77182,Depósito de relaves Santa María 2,Depósito,Operación,La Libertad y La Poderosa de Trujillo,CIA MINERA PODEROSA S A,Minería,34565.64284048
-71.74911,-15.07152,Depósito de relaves,Depósito,Operación,Suyckutambo,AMG-AUPLATA MINING GROUP PERU S.A.C.,Minería,26603.8526689
-74.37512,-12.5882,Depósito de relave zona norte (dr-co-04),Depósito,Operación,Cobriza,OPERADORES CONCENTRADOS PERUANOS S.A.C.,Minería,58770.5495082
-76.2379,-11.65135,Depósito de relaves Casapalca,Depósito,Revegetado,Ex Unidad Minera Casapalca,ACTIVOS MINEROS S.A.C.,Minería,71846.85503752
-76.00377,-11.75241,Depósito de relaves Andaychagua Alto,Depósito,Operación,Andaychagua,VOLCAN COMPANIA MINERA S.A.A.,Minería,443184.03173712
-76.51818,-11.1955,Depósito de relaves Santander,Depósito,Operación,Santander,COMPAÑIA MINERA SANTANDER SOCIEDAD ANONIMA CERRADA,Minería,245153.34612719
-75.19493,-13.20571,Deposito de relaves n°2,Depósito,Operación,Caudalosa Grande y Relíquias,SOCIEDAD MINERA RELIQUIAS S.A.C.,Minería,208658.45194667
-75.67113,-12.05812,Deposito de relaves n 2,Depósito,Operación,UEA Azulcocha,SIERRA POLI S.A.C.,Minería,6191.92419626
-71.60238,-16.50691,Deposito de relaves Enlozada,Depósito,Operación,Cerro Verde,SOCIEDAD MINERA CERRO VERDE S.A.A.,Minería,3274716.47735076
-74.80531,-12.94795,Depósitos de relaves 4,Depósito,Inoperativo,Julcani,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,21283.70614679
-76.69152,-10.62872,Depósito de relave n° 1,Depósito,Inoperativo,Uchucchacua,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,25027.41390943
-76.86109,-10.67519,Relavera 1A,Depósito,Operación,Mallay,MINERA CRC SOCIEDAD ANONIMA CERRADA,Minería,47102.9236061
-74.79836,-12.92171,Deposito de relaves n° 9,Depósito,Operación,Julcani,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,153397.77271434
-76.40133,-11.00465,Depósito de relaves n° 5,Depósito,Operación,Huarón,PAN AMERICAN SILVER HUARON S.A.,Minería,491989.32588527
-75.66671,-12.05759,Depósito de relaves n° 4:,Depósito,Operación,UEA Azulcocha,SIERRA POLI S.A.C.,Minería,66618.44353378
-76.11086,-11.69863,Depósito de relaves Rumichaca,Depósito,Operación,Carahuacra,VOLCAN COMPANIA MINERA S.A.A.,Minería,606131.40697159
-76.09269,-11.68453,"Depósitos de relave dr-ca-01, 02, 03, 04, 05 y 06",Depósito,Cerrado,Carahuacra,VOLCAN COMPANIA MINERA S.A.A.,Minería,32645.76190584
-78.3115,-8.02591,Deposito de relaves Santa Catalina,Depósito,Operación,Quiruvilca,COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION,Minería,419983.79081508
-76.20951,-11.66637,Depósito de relaves n° 3,Depósito,Operación,Americana,SOBREANDES S.A.C.,Minería,410680.51894073
-75.66146,-12.05175,Depósito de relaves n° 5 b 1,Depósito,Operación,UEA Azulcocha,SIERRA POLI S.A.C.,Minería,1373.93301146
-76.26192,-11.6933,Depósito de relaves Bellavista,Depósito,Revegetado,Ex Unidad Minera Casapalca,ACTIVOS MINEROS S.A.C.,Minería,46463.6463546
-74.3716,-12.57882,Depósito de relaves Chacapampa,Depósito,Operación,Cobriza,OPERADORES CONCENTRADOS PERUANOS S.A.C.,Minería,201589.73704991
-74.77003,-12.94001,Depósito de relaves n° 8.,Depósito,Cerrado,Julcani,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,31145.57865956
-76.59419,-12.69665,Depósito de relaves integrado 1 y 3,Depósito,Inoperativo,Acumulación Condestable,COMPAñIA MINERA CONDESTABLE S.A.,Minería,109445.7331161
-72.10433,-15.34389,Depósito de relave n° 4,Depósito,Operación,Acumulación Ancoyo,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,42610.76888313
-72.12252,-15.34628,Deposito de relaves n° 2,Depósito,Cerrado,Acumulación Ancoyo,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,4639.47509351
-77.52861,-9.74953,Depósito de relaves n° 2 (dr2),Depósito,Operación,Huancapeti,COMPAÑIA MINERA LINCUNA S.A.,Minería,149841.19845321
-75.67,-12.05962,Depósito de relave nº 2 (PAM),Depósito,Pasivo Ambiental Minero,UEA Azulcocha,SIERRA POLI S.A.C.,Minería,972.94109264
-74.94321,-13.08975,Relavera n° 5,Depósito,Cerrado,Recuperada,RECUPERADA SOCIEDAD ANONIMA CERRADA - RECUPERADA S.A.C.,Minería,31796.43052288
-74.80574,-12.94882,Deposito de relaves 5,Depósito,Inoperativo,Julcani,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,6174.8629569
-74.38703,-12.5747,Depósito de relaves dr-co-01 (nv. 28s),Depósito,Revegetado,Cobriza,OPERADORES CONCENTRADOS PERUANOS S.A.C.,Minería,4439.97729828
-76.59468,-12.68717,Depósito de relaves n° 4,Depósito,Inoperativo,Acumulación Condestable,COMPAñIA MINERA CONDESTABLE S.A.,Minería,312790.14607796
-76.29773,-10.68632,Punto de descarga de relave de la planta de oxid,Depósito,Operación,Cerro de Pasco,EMPRESA ADMINISTRADORA CERRO S.A.C.,Minería,1789924.52405652
-77.02764,-9.87975,Depósito de relaves Chuspic (margen derecha),Depósito,Operación,Huanzala,CIA MINERA SANTA LUISA S A,Minería,634205.32996341
-73.97098,-14.01295,Depósito de relaves cr-7,Depósito,Operación,Catalina Huanca,CATALINA HUANCA SOCIEDAD MINERA S.A.C.,Minería,13467.07428517
-76.08987,-11.68075,Depósito de relaves n° 6.,Depósito,Cerrado,Carahuacra,VOLCAN COMPANIA MINERA S.A.A.,Minería,14725.85321828
-77.27855,-11.4924,Deposito de relave nro. 3,Depósito,Operación,María Teresa,MINERA COLQUISIRI S.A.,Minería,95364.93702491
-76.26182,-11.67793,Deposito de relaves Rosaura,Depósito,Operación,Casapalca 7,EMPRESA MINERA LOS QUENUALES S.A.C.,Minería,91645.67378331
